time_s,lat,lon,heading_deg,gps_speed_mps,turn_rate_dps,fix_quality,num_sats,hdop,throttle_ppm,steering_ppm,ch3_ppm,ch4_ppm,ch5_ppm,ch6_ppm,ch7_ppm,ch8_ppm,mode
0.002,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1500,1500,1500,1500,UNKNOWN
0.050,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1500,1500,1500,1500,UNKNOWN
0.123,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1500,1500,1500,1500,UNKNOWN
0.150,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1500,1500,1500,1500,UNKNOWN
0.202,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1500,1500,1500,1500,UNKNOWN
0.250,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1500,1500,1500,1500,UNKNOWN
0.300,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1500,1500,1500,1500,UNKNOWN
0.358,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1500,1500,1500,1500,UNKNOWN
0.401,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1500,1500,1500,1500,UNKNOWN
0.450,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1500,1500,1500,1500,UNKNOWN
0.500,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1500,1500,1500,1500,UNKNOWN
0.550,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1500,1500,1500,1500,UNKNOWN
0.600,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1500,1500,1500,1500,UNKNOWN
0.650,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1500,1500,1500,1500,UNKNOWN
0.700,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1500,1500,1500,1500,UNKNOWN
0.750,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1500,1500,1500,1500,UNKNOWN
0.800,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1500,1500,1500,1500,UNKNOWN
0.850,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1500,1500,1500,1500,UNKNOWN
0.900,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1500,1500,1500,1500,UNKNOWN
0.950,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1500,1500,1500,1500,UNKNOWN
1.000,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1500,1500,1500,1500,UNKNOWN
1.050,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1500,1500,1500,1500,UNKNOWN
1.100,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
1.150,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
1.200,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
1.250,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
1.300,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
1.350,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
1.400,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
1.450,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
1.500,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
1.550,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
1.600,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
1.650,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
1.700,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
1.750,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
1.800,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
1.850,0.0000000000,0.0000000000,0.00,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
1.900,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
1.950,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
2.000,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
2.050,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
