t,ppm_throttle,ppm_steer,ppm_ch3,ppm_ch4,ppm_ch5,ppm_ch6,ppm_ch7,ppm_ch8,lat,lon,heading,source
1775086964.121,1500,1500,1500,1500,1061,1939,1500,1500,0.0,0.0,0.0,rc
1775086964.1218,1500,1500,1500,1500,1061,1939,1500,1500,0.0,0.0,0.0,rc
1775086964.1222,1500,1500,1500,1500,1061,1939,1500,1500,0.0,0.0,0.0,rc
1775086964.1227,1500,1500,1500,1500,1061,1939,1500,1500,0.0,0.0,0.0,rc
1775086964.1231,1500,1500,1500,1500,1061,1939,1500,1500,0.0,0.0,0.0,rc
1775086964.1236,1500,1500,1500,1500,1061,1939,1500,1500,0.0,0.0,0.0,rc
1775086964.124,1500,1500,1500,1500,1061,1939,1500,1500,0.0,0.0,0.0,rc
1775086964.1244,1500,1500,1500,1500,1061,1939,1500,1500,0.0,0.0,0.0,rc
1775086964.1322,1500,1500,1500,1500,1061,1939,1500,1500,0.0,0.0,0.0,rc
1775086964.1514,1500,1500,1500,1500,1061,1939,1500,1500,0.0,0.0,0.0,rc
1775086964.1717,1500,1500,1500,1500,1061,1939,1500,1500,0.0,0.0,0.0,rc
1775086964.1913,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.2166,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.2313,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.2514,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.2714,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.2913,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.3114,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.3315,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.3513,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.3713,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.3913,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.4163,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.4313,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.4514,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.4713,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.4913,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.5113,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.5313,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.5514,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.5713,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.5913,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.6163,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.66,rc
1775086964.6316,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.66,rc
1775086964.6516,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.66,rc
1775086964.6714,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.66,rc
1775086964.6914,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.66,rc
1775086964.7113,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.66,rc
1775086964.7313,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.66,rc
1775086964.7513,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.66,rc
1775086964.7712,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.7913,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.8165,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.8312,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.8513,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.8713,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.8912,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.9112,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.9312,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.9513,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.9713,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086964.9914,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086965.0163,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086965.0313,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086965.0513,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
1775086965.0713,1500,1500,1500,1500,1061,1939,1500,1500,20.7276655,-103.56684283,224.12,rc
