t,ppm_throttle,ppm_steer,ppm_ch3,ppm_ch4,ppm_ch5,ppm_ch6,ppm_ch7,ppm_ch8,lat,lon,heading,source
1775092428.5759,1500,1500,1500,1500,1939,1939,1500,1500,20.72768333,-103.5668725,303.2,rc
1775092428.5765,1500,1500,1500,1500,1939,1939,1500,1500,20.72768333,-103.5668725,303.2,rc
1775092428.5769,1500,1500,1500,1500,1939,1939,1500,1500,20.72768333,-103.5668725,303.2,rc
1775092428.5852,1500,1500,1500,1500,1939,1939,1500,1500,20.72768333,-103.5668725,303.2,rc
1775092428.605,1500,1500,1500,1500,1939,1939,1500,1500,20.72768333,-103.5668725,303.2,rc
1775092428.6272,1500,1500,1500,1500,1939,1939,1500,1500,20.72768333,-103.5668725,303.2,rc
1775092428.6467,1500,1500,1500,1500,1939,1939,1500,1500,20.72768333,-103.5668725,303.2,rc
1775092428.6663,1500,1500,1500,1500,1939,1939,1500,1500,20.72768333,-103.5668725,303.2,rc
1775092428.6862,1500,1500,1500,1500,1939,1939,1500,1500,20.72768333,-103.5668725,303.2,rc
1775092428.7072,1500,1500,1500,1500,1939,1939,1500,1500,20.72768333,-103.5668725,303.2,rc
1775092428.7267,1500,1500,1500,1500,1939,1939,1500,1500,20.72768333,-103.5668725,303.2,rc
1775092428.7464,1500,1500,1500,1500,1939,1939,1500,1500,20.72768333,-103.5668725,303.2,rc
1775092428.7665,1500,1500,1500,1500,1939,1939,1500,1500,20.72768333,-103.5668725,303.2,rc
1775092428.7862,1500,1500,1500,1500,1939,1939,1500,1500,20.72768333,-103.5668725,303.2,rc
1775092428.8061,1500,1500,1500,1500,1939,1939,1500,1500,20.72768333,-103.5668725,303.2,rc
1775092428.8263,1500,1500,1500,1500,1939,1939,1500,1500,20.72768333,-103.5668725,303.2,rc
1775092428.8461,1500,1500,1500,1500,1939,1939,1500,1500,20.72768333,-103.5668725,303.2,rc
1775092428.8715,1500,1500,1500,1500,1939,1939,1500,1500,20.72768333,-103.5668725,303.2,rc
1775092428.8864,1500,1500,1500,1500,1939,1939,1500,1500,20.72768333,-103.5668725,303.2,rc
1775092428.9114,1500,1500,1500,1500,1939,1939,1500,1500,20.72768333,-103.56687233,303.2,rc
1775092428.9265,1500,1500,1500,1500,1939,1939,1500,1500,20.72768333,-103.56687233,302.17,rc
1775092428.9512,1500,1500,1500,1500,1939,1939,1500,1500,20.72768333,-103.56687233,302.17,rc
1775092428.9663,1500,1500,1500,1500,1939,1939,1500,1500,20.72768333,-103.56687233,302.17,rc
1775092428.9914,1500,1500,1500,1500,1939,1939,1500,1500,20.72768333,-103.56687233,302.17,rc
1775092429.0063,1500,1500,1500,1500,1939,1939,1500,1500,20.72768333,-103.56687233,302.17,rc
1775092429.0312,1500,1500,1500,1500,1939,1939,1500,1500,20.72768333,-103.56687233,302.17,rc
1775092429.0461,1500,1500,1500,1500,1939,1939,1500,1500,20.72768333,-103.56687233,302.17,rc
