t,lat,lon,heading,target_brg,hdg_err,cte,steer_frac,steer_ppm,throttle_ppm,speed_tgt,dist_to_wp,wp_idx,algo
1774401132.9358,20.72770025,-103.56679183,284.6,285.78,1.18,-0.1151,-0.118,1559,1600,0.3,0.567,0,stanley
1774401136.2918,20.72770033,-103.56679183,285.33,285.18,-0.15,-0.098,-0.126,1563,1600,0.3,0.57,0,stanley
1774401136.3315,20.72770033,-103.56679183,285.33,285.18,-0.15,-0.098,-0.126,1563,1600,0.3,0.57,0,stanley
1774401136.3715,20.72770033,-103.56679183,285.33,285.18,-0.15,-0.098,-0.126,1563,1600,0.3,0.57,0,stanley
1774401136.4117,20.72770033,-103.56679183,285.33,285.18,-0.15,-0.098,-0.126,1563,1600,0.3,0.57,0,stanley
1774401136.4517,20.72770033,-103.56679183,285.33,285.18,-0.15,-0.098,-0.126,1563,1600,0.3,0.57,0,stanley
1774401136.4914,20.72770033,-103.56679183,285.33,285.18,-0.15,-0.098,-0.126,1563,1600,0.3,0.57,0,stanley
1774401136.5316,20.72770033,-103.56679183,285.33,285.18,-0.15,-0.098,-0.126,1563,1600,0.3,0.57,0,stanley
1774401136.5715,20.72770033,-103.566792,285.33,285.49,0.16,-0.1049,-0.128,1564,1600,0.3,0.586,0,stanley
1774401136.6117,20.72770033,-103.56679208,285.15,285.65,0.5,-0.1118,-0.13,1565,1600,0.3,0.594,0,stanley
1774401136.6516,20.72770042,-103.56679233,284.6,285.51,0.91,-0.1187,-0.13,1565,1600,0.3,0.622,0,stanley
1774401136.6915,20.72770042,-103.5667925,284.6,285.85,1.25,-0.1255,-0.13,1565,1600,0.3,0.638,0,stanley
1774401136.7315,20.72770042,-103.5667925,284.6,285.85,1.25,-0.1255,-0.13,1565,1600,0.3,0.638,0,stanley
1774401136.7715,20.72770042,-103.5667925,284.6,285.85,1.25,-0.1255,-0.13,1565,1600,0.3,0.638,0,stanley
1774401136.8117,20.72770033,-103.56679242,285.15,286.31,1.17,-0.1255,-0.132,1566,1600,0.3,0.626,0,stanley
1774401136.8517,20.72770033,-103.56679233,285.33,286.14,0.81,-0.1187,-0.132,1566,1600,0.3,0.618,0,stanley
1774401136.8917,20.72770042,-103.56679242,284.42,285.68,1.26,-0.1255,-0.13,1565,1600,0.3,0.63,0,stanley
1774401136.9315,20.7277005,-103.56679258,285.15,285.37,0.22,-0.1154,-0.14,1570,1600,0.3,0.649,0,stanley
1774401136.9716,20.72770058,-103.56679275,284.42,285.04,0.62,-0.1223,-0.14,1570,1600,0.3,0.669,0,stanley
1774401137.0118,20.72770058,-103.56679292,284.42,285.39,0.97,-0.1292,-0.142,1571,1600,0.3,0.685,0,stanley
1774401137.0515,20.72770058,-103.56679292,284.42,285.39,0.97,-0.1292,-0.142,1571,1600,0.3,0.685,0,stanley
1774401137.0918,20.72770058,-103.56679292,284.42,285.39,0.97,-0.1292,-0.142,1571,1600,0.3,0.685,0,stanley
1774401137.1316,20.72770058,-103.56679292,284.42,285.39,0.97,-0.1292,-0.142,1571,1600,0.3,0.685,0,stanley
1774401137.1716,20.72770058,-103.56679292,284.42,285.39,0.97,-0.1292,-0.142,1571,1600,0.3,0.685,0,stanley
1774401137.2117,20.72770067,-103.566793,283.53,284.87,1.34,-0.136,-0.142,1571,1600,0.3,0.696,0,stanley
1774401137.2518,20.72770067,-103.56679317,283.53,285.23,1.7,-0.1429,-0.142,1571,1600,0.3,0.712,0,stanley
1774401137.2917,20.72770075,-103.56679333,284.25,284.87,0.62,-0.1328,-0.154,1577,1600,0.3,0.732,0,stanley
1774401137.3316,20.72770075,-103.56679342,284.42,285.05,0.63,-0.1328,-0.154,1577,1600,0.3,0.74,0,stanley
1774401137.3715,20.72770075,-103.56679342,284.42,285.05,0.63,-0.1328,-0.154,1577,1600,0.3,0.74,0,stanley
1774401137.4116,20.72770075,-103.56679342,284.42,285.05,0.63,-0.1328,-0.154,1577,1600,0.3,0.74,0,stanley
1774401137.4516,20.72770083,-103.56679358,283.69,284.67,0.98,-0.1396,-0.154,1577,1600,0.3,0.76,0,stanley
1774401137.4917,20.72770083,-103.56679375,283.69,285.05,1.36,-0.1465,-0.154,1577,1600,0.3,0.776,0,stanley
1774401137.5317,20.72770083,-103.56679375,285.15,285.05,-0.09,-0.1295,-0.164,1582,1600,0.3,0.776,0,stanley
1774401137.5717,20.72770083,-103.56679392,285.15,285.46,0.31,-0.1364,-0.164,1582,1600,0.3,0.792,0,stanley
1774401137.6119,20.72770083,-103.566794,285.33,285.67,0.34,-0.1364,-0.164,1582,1600,0.3,0.8,0,stanley
1774401137.6517,20.72770083,-103.56679408,285.15,285.88,0.74,-0.1433,-0.164,1582,1600,0.3,0.808,0,stanley
1774401137.6914,20.72770092,-103.56679417,284.6,285.27,0.67,-0.1433,-0.166,1583,1600,0.3,0.82,0,stanley
1774401137.7317,20.72770092,-103.56679425,284.42,285.49,1.07,-0.1501,-0.166,1583,1600,0.3,0.828,0,stanley
1774401137.7716,20.72770092,-103.56679433,284.6,285.71,1.11,-0.1501,-0.164,1582,1600,0.3,0.836,0,stanley
1774401137.8117,20.72770092,-103.5667945,284.6,286.18,1.58,-0.157,-0.162,1581,1600,0.3,0.852,0,stanley
1774401137.8515,20.72770092,-103.5667945,284.6,286.18,1.58,-0.157,-0.162,1581,1600,0.3,0.852,0,stanley
1774401137.8915,20.72770092,-103.56679458,284.42,286.42,2.0,-0.1639,-0.162,1581,1600,0.3,0.86,0,stanley
1774401137.9317,20.72770092,-103.56679458,284.42,286.42,2.0,-0.1639,-0.162,1581,1600,0.3,0.86,0,stanley
1774401137.9716,20.72770092,-103.56679458,284.42,286.42,2.0,-0.1639,-0.162,1581,1600,0.3,0.86,0,stanley
1774401138.0117,20.72770092,-103.56679475,284.42,286.93,2.5,-0.1708,-0.158,1579,1600,0.3,0.876,0,stanley
1774401138.0515,20.72770092,-103.56679475,284.42,286.93,2.5,-0.1708,-0.158,1579,1600,0.3,0.876,0,stanley
1774401138.0917,20.72770092,-103.56679492,284.42,287.46,3.04,-0.1777,-0.156,1578,1600,0.3,0.893,0,stanley
1774401138.1317,20.72770092,-103.56679492,284.42,287.46,3.04,-0.1777,-0.156,1578,1600,0.3,0.893,0,stanley
1774401138.1716,20.72770092,-103.566795,284.6,287.75,3.15,-0.1777,-0.152,1576,1600,0.3,0.901,0,stanley
1774401138.2118,20.72770092,-103.56679508,284.42,288.04,3.62,-0.1845,-0.15,1575,1600,0.3,0.909,0,stanley
