t,lat,lon,heading,target_brg,hdg_err,cte,steer_frac,steer_ppm,throttle_ppm,speed_tgt,dist_to_wp,wp_idx,algo,fix_quality,hacc_mm
1774994445.7153,20.7276667,-103.56680863,270.0,352.93,82.93,0.1923,0.8,1100,1500,1.5,11.126,0,stanley,2,-1.0
1774994446.2292,20.7276667,-103.56680866,270.0,352.93,82.93,0.1953,0.8,1100,1500,1.5,11.126,0,stanley,2,-1.0
1774994446.2691,20.7276668,-103.56680865,274.15,352.93,78.78,0.192,0.8,1100,1500,1.5,11.115,0,stanley,2,-1.0
1774994446.3091,20.72766689,-103.56680865,278.32,352.93,74.6,0.187,0.8,1100,1500,1.5,11.105,0,stanley,2,-1.0
1774994446.3491,20.72766699,-103.56680863,282.47,352.93,70.46,0.1807,0.8,1100,1500,1.5,11.094,0,stanley,2,-1.0
1774994446.3891,20.72766709,-103.5668086,286.6,352.93,66.33,0.1728,0.8,1100,1500,1.5,11.084,0,stanley,2,-1.0
1774994446.429,20.72766709,-103.5668086,286.6,352.93,66.33,0.1728,0.8,1100,1500,1.5,11.084,0,stanley,2,-1.0
1774994446.4691,20.72766727,-103.56680853,294.91,352.93,58.02,0.1527,0.8,1100,1500,1.5,11.065,0,stanley,2,-1.0
1774994446.5091,20.72766736,-103.56680849,299.1,352.93,53.83,0.1406,0.8,1100,1500,1.5,11.055,0,stanley,2,-1.0
1774994446.5491,20.72766744,-103.56680844,303.23,352.93,49.7,0.1273,0.8,1100,1500,1.5,11.047,0,stanley,2,-1.0
1774994446.5892,20.72766753,-103.56680838,307.41,352.93,45.52,0.1127,0.8,1100,1500,1.5,11.039,0,stanley,2,-1.0
1774994446.6291,20.7276676,-103.56680831,311.53,352.93,41.39,0.0971,0.8,1100,1500,1.5,11.031,0,stanley,2,-1.0
1774994446.6695,20.72766767,-103.56680824,315.7,352.93,37.22,0.0803,0.8,1100,1500,1.5,11.024,0,stanley,2,-1.0
1774994446.7094,20.72766774,-103.56680817,319.87,352.93,33.06,0.0625,0.736,1132,1500,1.5,11.018,0,stanley,2,-1.0
1774994446.7491,20.7276678,-103.56680809,324.02,352.93,28.9,0.0439,0.68,1160,2000,1.5,11.012,0,stanley,2,-1.0
1774994446.7892,20.72766786,-103.566808,328.17,352.93,24.76,0.0247,0.572,1214,2000,1.5,11.007,0,stanley,2,-1.0
1774994446.8291,20.72766791,-103.56680792,332.01,352.93,20.92,0.0062,0.472,1264,2000,1.5,11.003,0,stanley,2,-1.0
1774994446.8691,20.72766887,-103.56680829,335.51,352.93,17.42,0.0224,0.408,1296,2000,1.5,10.891,0,stanley,2,-1.0
1774994446.9091,20.72766985,-103.56680862,338.48,352.93,14.44,0.0354,0.352,1324,2000,1.5,10.779,0,stanley,2,-1.0
1774994446.9491,20.72767084,-103.56680892,340.92,352.93,12.0,0.0461,0.306,1347,2000,1.5,10.666,0,stanley,2,-1.0
1774994446.9891,20.72767183,-103.56680919,343.04,352.93,9.88,0.0542,0.266,1367,2000,1.5,10.553,0,stanley,2,-1.0
1774994447.0291,20.72767283,-103.56680943,344.88,352.93,8.05,0.0603,0.23,1385,2000,1.5,10.439,0,stanley,2,-1.0
1774994447.0692,20.72767383,-103.56680965,346.45,352.93,6.48,0.0645,0.2,1400,2000,1.5,10.326,0,stanley,2,-1.0
1774994447.1091,20.72767484,-103.56680984,347.85,352.93,5.08,0.0669,0.17,1415,2000,1.5,10.212,0,stanley,2,-1.0
1774994447.1491,20.72767585,-103.56681002,349.03,352.93,3.89,0.068,0.146,1427,2000,1.5,10.099,0,stanley,2,-1.0
1774994447.1891,20.72767686,-103.56681019,350.08,352.93,2.85,0.0678,0.122,1439,2000,1.5,9.985,0,stanley,2,-1.0
1774994447.2291,20.72767787,-103.56681034,350.92,353.06,2.15,0.0669,0.106,1447,2000,1.5,9.872,0,stanley,2,-1.0
1774994447.2691,20.72767889,-103.56681048,351.69,353.07,1.38,0.0649,0.086,1457,2000,1.5,9.758,0,stanley,2,-1.0
1774994447.3092,20.7276799,-103.56681061,352.32,353.07,0.74,0.0624,0.07,1465,2000,1.5,9.644,0,stanley,2,-1.0
1774994447.3491,20.72768092,-103.56681073,352.82,353.06,0.24,0.0593,0.056,1472,2000,1.5,9.53,0,stanley,2,-1.0
1774994447.3891,20.72768193,-103.56681085,353.29,353.05,-0.24,0.0558,0.044,1478,2000,1.5,9.417,0,stanley,2,-1.0
1774994447.4291,20.72768295,-103.56681096,353.66,353.04,-0.62,0.0521,0.032,1484,2000,1.5,9.303,0,stanley,2,-1.0
1774994447.4692,20.72768397,-103.56681107,353.92,353.02,-0.9,0.0482,0.022,1489,2000,1.5,9.189,0,stanley,2,-1.0
1774994447.5092,20.72768499,-103.56681118,353.96,353.01,-0.94,0.0457,0.018,1491,2000,1.5,9.076,0,stanley,2,-1.0
1774994447.5492,20.727686,-103.5668113,353.92,353.0,-0.92,0.0433,0.018,1491,2000,1.5,8.962,0,stanley,2,-1.0
1774994447.5891,20.72768702,-103.56681141,353.92,352.99,-0.94,0.0409,0.014,1493,2000,1.5,8.848,0,stanley,2,-1.0
1774994447.6291,20.72768804,-103.56681153,353.92,352.98,-0.95,0.0385,0.012,1494,2000,1.5,8.735,0,stanley,2,-1.0
1774994447.6692,20.72768804,-103.56681153,353.92,352.98,-0.95,0.0385,0.012,1494,2000,1.5,8.735,0,stanley,2,-1.0
1774994447.7091,20.72769007,-103.56681176,353.95,352.95,-1.0,0.0335,0.008,1496,2000,1.5,8.507,0,stanley,2,-1.0
1774994447.7491,20.72769109,-103.56681188,353.92,352.94,-0.99,0.0312,0.006,1497,2000,1.5,8.393,0,stanley,2,-1.0
1774994447.7891,20.7276921,-103.56681199,353.92,352.92,-1.0,0.0287,0.004,1498,2000,1.5,8.28,0,stanley,2,-1.0
1774994447.8291,20.72769312,-103.56681211,353.92,352.91,-1.01,0.0264,0.0,1500,2000,1.5,8.166,0,stanley,2,-1.0
1774994447.8691,20.72769414,-103.56681222,353.92,352.9,-1.03,0.0239,-0.002,1501,2000,1.5,8.052,0,stanley,2,-1.0
1774994447.9091,20.72769515,-103.56681234,353.92,352.88,-1.04,0.0214,-0.004,1502,2000,1.5,7.939,0,stanley,2,-1.0
1774994447.9492,20.72769617,-103.56681246,353.92,352.87,-1.06,0.019,-0.006,1503,2000,1.5,7.825,0,stanley,2,-1.0
1774994447.9891,20.72769719,-103.56681257,353.92,352.85,-1.07,0.0165,-0.008,1504,2000,1.5,7.711,0,stanley,2,-1.0
1774994448.0291,20.7276982,-103.56681269,353.92,352.83,-1.09,0.0142,-0.012,1506,2000,1.5,7.598,0,stanley,2,-1.0
1774994448.0691,20.72769922,-103.5668128,353.92,352.82,-1.11,0.0117,-0.014,1507,2000,1.5,7.484,0,stanley,2,-1.0
1774994448.1091,20.72770024,-103.56681292,353.92,352.8,-1.12,0.0092,-0.016,1508,2000,1.5,7.37,0,stanley,2,-1.0
1774994448.1491,20.72770125,-103.56681303,353.92,352.78,-1.14,0.0069,-0.018,1509,2000,1.5,7.257,0,stanley,2,-1.0
1774994448.1891,20.72770227,-103.56681315,353.92,352.76,-1.16,0.0044,-0.022,1511,2000,1.5,7.143,0,stanley,2,-1.0
1774994448.2291,20.72770329,-103.56681327,353.92,352.75,-1.17,0.0021,-0.024,1512,2000,1.5,7.029,0,stanley,2,-1.0
1774994448.2691,20.72770431,-103.56681338,353.92,352.73,-1.19,-0.0004,-0.026,1513,2000,1.5,6.916,0,stanley,2,-1.0
1774994448.3091,20.72770532,-103.5668135,353.92,352.71,-1.22,-0.0029,-0.028,1514,2000,1.5,6.802,0,stanley,2,-1.0
1774994448.3491,20.72770634,-103.56681361,353.92,352.69,-1.24,-0.0053,-0.03,1515,2000,1.5,6.688,0,stanley,2,-1.0
1774994448.3892,20.72770685,-103.56681367,353.9,352.67,-1.23,-0.0053,-0.03,1515,2000,1.5,6.631,0,stanley,2,-1.0
1774994448.4291,20.72770837,-103.56681384,353.92,352.64,-1.28,-0.0101,-0.036,1518,2000,1.5,6.461,0,stanley,2,-1.0
